Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,GDP2010,POP2010
Azerbaijan,0.52002,0.52053,0.59178,0.60157,0.63699,0.65892,0.69878,0.59244,0.71848,0.56673,0.55567,NA,52905998878,9095
Belarus,1.05214,0.96268,0.90747,0.98457,0.95177,1.12403,1.15433,1.15134,1.12029,1.05118,1.13123,NA,55220932613,9491
Estonia,0.19633,0.2039,0.2034,0.22366,0.23265,0.23315,0.22655,0.23105,0.22402,0.19773,0.22299,0.07596,18909381436,1299
Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,0.13752,0.12619,0.14833,0.13288,0.1357,0.15153,0.13936,0.16648,0.1737,0.17753,0.19191,NA,11638236642,4389
Kazakhstan,1.83351,1.93523,1.99277,1.82516,2.18332,2.23411,2.37702,2.38347,2.36741,2.14318,2.25517,NA,148052371903,15921
Kyrgyzstan,0.24136,0.22777,0.19289,0.20385,0.21189,0.21021,0.21543,0.20304,0.17757,0.20701,0.20166,NA,5334
Latvia,0.15412,0.16092,0.154,0.16071,0.17574,0.18543,0.18448,0.17261,0.16337,0.16488,0.16082,NA,24009680459,2091
Lithuania,0.2973,0.31679,0.34054,0.35264,0.35316,0.35257,0.35277,0.38586,0.37472,0.32429,0.26217,NA,36306384146,3068
Moldova,0.11014,0.10728,0.11896,0.1305,0.12268,0.1293,0.13827,0.12851,0.13351,0.11866,0.1186,NA,5811622393,3573
Russia,26.13934,25.70645,26.66264,27.4133,28.14579,27.92219,27.68692,28.69019,29.63247,27.68958,29.32178,32.77096,1524916698233,143618
Tajikistan,0.23909,0.24705,0.25201,0.27054,0.27419,0.28425,0.28025,0.27243,0.25661,0.18682,0.19051,NA,5642221528,7627
Turkmenistan,0.40112,0.50227,0.58452,0.75923,0.80707,0.83243,0.84142,0.89993,0.93194,0.88651,0.92312,NA,22148070175,5042
Ukraine,5.75077,5.64106,5.82163,6.2826,6.25436,6.32588,5.86877,6.29988,6.22468,4.45821,5.09354,NA,136418622767,46050
Uzbekistan,1.95472,2.04481,2.09616,2.12792,2.25405,2.1614,2.22683,2.22658,2.34739,1.99839,1.99535,NA,39332771014,27769
Middle East,17.35068,17.97316,19.01498,19.81524,20.96458,22.8694,23.94168,23.94363,26.09924,27.44746,28.73368,NA
Bahrain,0.36474,0.37722,0.39762,0.40773,0.41884,0.44726,0.48868,0.51317,0.53474,0.54327,0.55759,NA,25713571420,1252
Iran,5.02081,5.38611,5.88847,6.1875,6.40678,7.33526,7.67976,7.89703,8.09856,9.04268,9.10777,NA,422567967404,74462
Iraq,1.08419,1.13411,1.14428,1.0122,1.12508,1.23888,1.22646,1.30916,1.34034,1.45744,1.50018,NA,135488471367,30962
Israel,0.81131,0.87409,0.84092,0.85309,0.8555,0.87197,0.88416,0.91127,0.83252,0.87707,0.94537,0.97417,231674511901,7420
Jordan,0.22545,0.2202,0.23062,0.25148,0.27821,0.29423,0.30837,0.30975,0.30782,0.31309,0.32667,NA,26425379366,6455
Kuwait,0.90963,0.88264,0.88761,0.96046,1.00698,1.14679,1.13313,1.12475,1.16169,1.21498,1.28347,1.39857,119934674734,2992
Lebanon,0.23433,0.22499,0.22859,0.23803,0.22844,0.21854,0.19424,0.17922,0.18233,0.28324,0.27604,NA,37124378109,4341
Oman,0.34089,0.34692,0.36024,0.3566,0.38096,0.48045,0.55125,0.58188,0.68767,0.75002,0.86701,0.88503,58813004375,2803
Palestinian Territories,0.01978,0.0266,0.02469,0.02643,0.04029,0.04934,0.05351,0.05453,0.05852,0.04525,0.04585,NA
Qatar,0.64476,0.5025,0.5271,0.58437,0.70528,0.88637,0.95057,0.99146,1.01462,1.08657,1.10456,1.08967,125122249141,1750
Saudi Arabia,4.85276,5.1387,5.38353,5.76125,6.20771,6.52548,6.8456,6.18472,7.45005,7.22524,7.84894,8.50648,526811466666,27258
Syria,0.78206,0.76222,0.8197,0.82694,0.84518,0.80437,0.80649,0.80705,0.81778,0.9479,1.03228,NA,59147033451,21533
United Arab Emirates,1.8663,1.89112,2.05573,2.1047,2.21903,2.31365,2.53901,2.82421,3.29263,3.37142,3.53612,4.11031,287421927883,8442
Yemen,0.19367,0.20573,0.22587,0.24444,0.2463,0.25679,0.28046,0.25545,0.31997,0.28928,0.30183,0.29662,31883409718,22763
Africa,12.03873,12.62643,12.7111,13.34942,13.95348,14.48942,14.58177,14.99456,16.07699,15.92452,16.32675,NA
Algeria,1.23857,1.25615,1.27659,1.2927,1.26393,1.48134,1.54318,1.61954,1.72123,1.7988,1.79829,NA,161207304960,37063
Angola,0.09094,0.1193,0.12741,0.13525,0.14463,0.14764,0.1659,0.1862,0.19718,0.20883,0.23924,NA,82470894868,19549
Benin,0.02426,0.02449,0.02594,0.03053,0.03556,0.03725,0.04391,0.04767,0.05264,0.06582,0.07364,NA,6558416322,9510
Botswana,0.05755,0.05139,0.05201,0.05007,0.05715,0.06134,0.06223,0.06069,0.06339,0.06514,0.0743,NA,13746712705,1969
Burkina Faso,0.01662,0.01662,0.01729,0.01803,0.01832,0.01877,0.01862,0.02082,0.02012,0.02564,0.02599,NA,9209288383,15540
Burundi,0.00658,0.00712,0.00727,0.00729,0.00667,0.00664,0.00644,0.00615,0.00406,0.00439,0.00468,NA,2026864414,9233
