Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,GDP2010,POP2010
Eritrea,2.11558,2.42508,2.16833,2.34729,2.11221,2.04424,1.9843,1.81687,2.01425,1.26458,1.21082,1.08972,2117039510,5741
Ethiopia,1.0023,1.05021,1.09283,1.15904,1.17919,1.22348,1.34605,1.41845,1.62268,1.5594,1.58963,NA,26311310604,87095
Gabon,29.79938,30.1018,29.18698,29.24878,28.80622,27.41546,29.60691,29.8137,35.74444,27.68115,29.3968,NA,14507032805,1556
"Gambia, The",2.69193,2.81582,2.80594,2.76355,2.70687,2.73052,2.85087,3.43019,3.48771,3.63743,3.85595,3.32909,951805801,1681
Ghana,7.5267,7.32719,6.60843,6.20714,7.01936,7.07665,6.95669,6.03895,6.60803,7.48066,8.25862,NA,32174210792,24263
Guinea,2.6053,2.78553,2.80783,2.52118,2.63421,2.57633,2.46732,2.44952,2.47486,2.43102,2.37006,NA,4735956475,10876
Guinea-Bissau,3.78863,3.75212,3.80898,3.83105,3.73594,3.80374,3.69562,3.74062,3.63769,3.63331,3.56097,3.5412,835390892,1587
Kenya,4.64743,4.58687,4.62164,4.84827,4.93076,5.19159,5.53532,5.40521,4.88738,4.97615,5.38306,NA,32198151217,40909
Lesotho,3.06612,3.10987,3.19155,3.29891,3.09148,3.44181,2.76526,2.95416,3.06518,2.88274,5.17414,NA,2203835214,2009
Liberia,2.36997,2.43273,2.56227,2.62552,2.6304,2.5413,2.76204,2.88019,2.45294,2.16172,2.04403,2.18043,1292696475,3958
Libya,125.35533,129.88725,132.88386,127.82501,138.77578,138.60052,128.81961,131.04358,125.16091,129.72566,137.46548,NA,,6041
Madagascar,1.9682,2.06267,2.25663,2.30182,2.42802,2.29191,2.20251,2.17993,2.31266,1.61972,1.57929,NA,8837041787,21080
Malawi,1.92782,1.88922,1.91907,1.90666,2.05245,2.10217,2.09785,2.09664,2.13452,1.9855,1.9813,NA,5398616984,15014
Mali,0.94832,0.92631,0.96251,0.94107,0.94136,0.99797,0.90087,0.89299,0.90597,0.87584,0.86146,NA,9422267259,13986
Mauritania,19.89674,19.39529,18.04145,18.07651,14.99593,17.29339,14.45797,13.00609,14.33858,8.89618,8.70454,NA,3671380305,3609
Mauritius,44.97744,48.84725,44.91526,46.43732,46.80451,48.57531,50.80213,53.67698,54.81175,49.70927,51.61907,52.3681,9718331362,1231
Morocco,15.90032,16.90109,16.92902,16.8249,16.65907,16.64582,17.07641,17.27291,19.33187,20.56288,21.27771,NA,90770671431,31642
Mozambique,5.59686,7.11759,7.08626,6.88035,7.2548,7.872,8.62827,8.68631,7.92173,8.3573,8.0643,NA,9274448731,23967
Namibia,21.91995,24.50365,25.65314,27.18958,28.35699,28.89568,30.54746,31.35918,34.7595,33.04045,30.71715,NA,11065912279,2179
Niger,1.40927,1.39647,1.43185,1.42085,1.47566,1.34896,1.27486,1.27508,0.93068,1.22654,1.20112,NA,5718589550,15894
Nigeria,6.5166,7.14817,7.14294,7.27798,7.11978,7.62323,7.0691,6.59833,6.76577,4.29601,4.51418,NA,229507890739,159708
Reunion,61.6085,63.22055,62.25447,61.49115,61.22714,61.50329,61.31079,61.94641,62.9294,63.95594,62.92552,NA
Rwanda,1.46881,1.43211,1.40879,1.40423,1.28622,1.29826,1.25515,1.09254,1.08263,1.12831,1.1022,NA,5624506157,10837
Saint Helena,42.87282,24.16959,23.99825,23.83254,17.66979,23.47188,21.62678,23.80008,18.11467,17.22829,17.15416,27.06994,4
Sao Tome and Principe,9.80326,9.19002,9.41524,9.27486,8.94434,8.92263,9.82946,11.76015,11.64931,11.36427,11.08885,NA,201037916,178
Senegal,6.72329,6.55038,6.6745,6.68922,7.44302,7.74889,7.73265,7.64902,5.5522,7.17072,7.03077,NA,12932427724,12951
Seychelles,102.38476,104.12072,149.75395,144.4482,147.96811,144.15781,188.6837,156.13497,169.97764,182.10464,151.89504,190.55821,969973774,91
Sierra Leone,3.50611,3.37744,3.24115,3.18208,3.65436,3.5557,3.44346,3.63074,4.22397,3.86738,3.87661,NA,2575466372,5752
Somalia,1.33115,1.28568,1.24543,1.21942,1.16639,1.14924,1.17589,1.29247,1.20374,1.16996,1.15143,NA,,9636
South Africa,101.71578,101.96284,98.43929,104.71121,110.88106,107.83603,110.32818,111.97743,117.44967,114.73951,113.88982,NA,363240728680,51452
Sudan and South Sudan,3.23577,3.96975,4.00204,4.29994,4.50021,4.71312,5.11937,4.88112,5.26563,7.07709,7.23133,NA
Swaziland,14.30868,14.10963,13.90993,12.56774,11.76721,11.39679,12.4654,13.95068,13.83872,13.01445,12.77248,NA,3691050502,1193
Tanzania,1.75344,2.00681,2.13627,2.10032,2.18504,2.34885,2.36165,2.68643,2.79126,2.87315,2.71328,NA,22915004297,44973
Togo,4.38927,3.09352,3.89855,5.90989,6.08962,5.86954,5.9374,6.22035,6.86678,3.40957,3.50494,NA,3172945282,6306
Tunisia,31.65596,34.99094,34.85695,33.71319,33.65551,35.78064,32.97588,28.8101,30.39064,28.81654,29.3707,NA,44377742070,10632
Uganda,1.43224,1.48103,1.49643,1.55734,1.55839,1.54783,1.40283,1.51311,1.49648,1.96328,1.98381,NA,17197111223,33987
Western Sahara,10.71622,10.39903,9.95473,9.53891,9.09925,9.92628,8.47576,8.58844,7.91067,7.66219,7.42039,7.18229,515
Zambia,9.94009,10.1966,10.22778,10.40155,10.34381,10.67768,10.87556,10.53588,10.31259,9.88649,10.51923,NA,16190196832,13217
Zimbabwe,17.94816,16.80363,16.84001,16.74291,15.00307,16.60839,15.14663,15.22479,13.27532,13.59258,14.04733,NA,7433314459,13077
Asia & Oceania,32.45521,32.93414,34.23777,36.08496,38.54075,41.17824,43.1749,44.91622,46.15472,48.53758,50.92537,NA
Afghanistan,1.06121,0.78571,0.77258,0.65144,0.62722,0.64488,0.68274,0.96743,1.07073,3.44869,3.58678,NA,15936784436,28398
American Samoa,135.65562,136.40979,139.19326,139.71663,139.1635,148.60154,151.92368,163.60159,152.76928,154.37894,75.25932,113.26071,,56
Australia,253.67648,259.32313,259.6846,258.84653,270.91259,279.23519,279.23881,286.36164,275.49463,271.19967,270.10256,257.32738,1141793593834,22404
Bangladesh,3.8127,4.10894,4.26683,4.55746,4.76311,4.98373,5.32514,5.4645,5.86958,6.2724,6.33497,6.38938,100357022443,151125
Bhutan,28.47551,30.27245,33.14887,35.78991,31.59954,35.0604,52.92563,73.63573,77.85731,78.1573,81.18146,NA,1585319109,717
Brunei,199.5228,219.77648,249.30961,259.40647,283.43434,330.03579,496.60173,502.31761,512.77814,328.77115,374.13869,371.09793,12369708858,401
Burma (Myanmar),3.53077,3.44758,3.86829,4.29835,4.35826,5.66967,5.2258,5.59925,5.47889,4.56119,4.50718,NA,,51931
Cambodia,2.7613,3.17372,3.36278,3.6161,3.97122,4.15751,4.50249,4.78354,4.92288,4.66101,4.23279,NA,11242266333,14365
China,32.39504,33.5081,37.01779,41.23726,46.06812,52.33248,56.95273,60.56171,64.49649,71.29933,75.84265,82.00652,5930529470799,1359821
Cook Islands,49.11015,51.06797,53.01563,54.99483,62.97833,72.02382,78.37635,75.7454,82.32901,84.87702,87.69931,93.41666,20
Fiji,30.20836,32.39281,37.0024,44.398,47.67991,46.53389,48.17175,47.52771,50.5225,27.98721,26.74007,26.49021,3225095136,861
