Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Bahrain,,,,,,,,,,,,,,,,,,,,"3,072,698,345.80565","3,467,819,352.78404","3,645,744,805.68489","3,735,106,510.87238","3,905,585,155.0076","3,651,861,912.27732","3,052,393,636.4318","3,392,021,222.52906","3,702,393,658.68843","3,863,564,047.18578","4,229,787,378.87456","4,616,223,477.21289","4,751,063,992.46826","5,200,266,050.40256","5,567,553,552.34054","5,849,468,115.18506","6,101,861,655.74215","6,349,202,600.38155","6,183,941,092.31601","6,621,186,419.41611","7,970,690,894.22308","7,928,934,209.57661","8,491,183,200.55491","9,747,599,583.42221","11,235,671,061.4371","13,460,198,289.6975","15,854,942,950.6104","18,473,097,688.7683","21,902,892,583.9637","19,318,822,540.6653","25,713,571,420.9726","29,044,457,919.7651",
"Bahamas, The","190,096,176.551435","212,252,822.19384","237,742,768.508112","266,664,053.749305","300,392,162.479928","340,000,006.35783","390,196,085.727844","444,901,969.103758","528,137,296.150413","538,423,199.465042",573400000,590899968,670899968,632400000,596200000,642099968,713000000,832400000,1139800064,1335299968,1426499968,1578300032,1732800000,2041100032,2320699904,2472499968,2713999872,2817900032,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7888087000,7872584000,8149004000
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,255,802,465.43943","1,866,572,992.65202","2,786,045,391.91109","3,671,816,537.75935","4,116,699,576.17583","4,685,729,742.91939","5,505,984,455.95855","5,748,990,554.79945","6,651,226,179.01829","8,370,020,196.19158","10,022,840,634.9206","10,948,051,122.2738","12,400,102,623.3083","15,280,615,815.2554","18,543,289,394.8472","17,082,889,409.7592","16,775,469,777.6516","18,252,421,794.7156","17,465,958,605.6645"
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,369,598,958.1159","17,813,389,815.004","17,022,180,272.211","16,280,372,553.0518","14,931,599,418.4226","13,972,637,603.2102","14,756,861,538.4615","14,128,412,417.193","15,222,014,828.3039","12,138,485,328.6267","12,736,856,485.1068","12,354,820,143.8849","14,594,925,392.9691","17,825,436,034.5366","23,141,587,717.7633","30,210,091,836.8294","36,961,918,858.7385","45,275,711,995.825","60,763,483,146.0674","49,271,267,252.1957","55,220,932,613.958","64,271,575,245.4325","63,267,017,440.3121"
Belize,"29,965,035.3920036","31,857,562.9999186","33,750,090.6078336","36,194,610.8013962","40,069,931.5396865","44,405,596.034382","47,379,308.7867437","44,910,180.7948118","47,305,390.4372017","53,233,534.3021169","59,207,317.5896141","66,062,499.015592","78,343,558.5113933","103,216,371.966438","118,066,302.075032","96,905,828.767564",117650000,136300000,151800000,194750000,192900000,179250000,189000000,210900000,209150000,227850000,276550016,314900000,363150016,413049984,"444,720,726.464896","518,143,678.48592","559,759,653.31007","580,760,211.263175","620,031,771.857715","641,271,333.36313","654,198,121.10579","688,872,472.724825","732,607,993.768985",831750000,"871,840,755.396765","932,676,403.181055",990350000,1057850000,1114200000,1217450000,1290550000,1369600000,1338500000,1397900000,1493100000,
Bermuda,"89,249,986.7007156","94,149,985.9705588","96,366,652.3069165","107,566,650.637987","114,339,048.962736","134,173,373.782802","155,102,984.621576",150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5473536000
Bolivia,"612,518,907.152565","669,722,540.430041","721,142,960.441744","812,543,073.809663","908,874,535.938603","994,044,552.923342","1,084,059,817.95356","908,874,535.938603","964,615,702.561641","1,017,171,717.17172","1,095,454,545.45455","1,257,615,644.97932","1,263,018,490.75462","2,100,249,875.06247","2,404,697,651.17441","2,732,083,958.02099","3,227,436,281.85907","3,758,220,889.55522","4,421,343,606.18135","4,537,487,842.81733","5,891,606,677.69193","5,594,118,400.64131","5,422,656,261.8957","6,169,481,549.38442","5,377,277,406.71638","3,959,379,487.6064","4,347,956,298.51327","4,597,615,562.66594","4,715,978,868.21613","4,867,582,620.20708","5,343,259,388.76337","5,643,864,407.82255","5,734,703,452.22129","5,981,218,996.99601","6,715,164,550.84431","7,396,952,081.04662","7,925,733,785.53783","8,497,499,333.04659","8,285,061,618.15839","8,397,858,184.79382","8,141,513,292.12402","7,905,485,216.17852","8,082,396,525.99433","8,773,451,738.91129","9,549,196,255.88892","11,451,845,341.2441","13,120,107,687.9377","16,674,276,951.8438","17,339,992,165.2422","19,649,724,655.5819","23,948,670,617.7235","27,035,110,130.246"
Brazil,"15,236,854,859.469","19,926,293,839.0163","23,021,477,292.2093","21,211,892,259.9904","21,790,035,102.382","27,062,716,510.5085","30,591,834,045.3823","33,875,881,906.0553","37,458,898,265.2258","42,327,600,115.9852","49,204,456,711.657","58,539,008,795.7658","79,279,057,736.1044","105,136,007,544.771","123,709,376,566.885","152,678,020,453.114","176,171,284,305.289","200,800,891,871.957","224,969,488,839.356","235,024,598,984.118","263,561,088,975.615","281,682,304,160.256","203,304,515,490.695","209,023,912,696.764","222,942,790,435.318","268,137,224,729.724","294,084,112,392.657","330,397,381,998.489",425595310000,461951782000,"407,337,832,905.405","390,566,551,483.761","438,299,504,406.263","546,233,380,259.659","768,951,297,894.977","839,682,618,644.911","871,200,342,859.687","843,827,363,149.355","586,862,640,399.442","644,701,831,101.394","553,582,178,386.192","504,221,228,974.035","552,469,288,267.793","663,760,341,880.342","882,185,702,547.247","1,088,916,819,852.94","1,366,853,244,424.28","1,653,538,618,144.8","1,620,165,226,993.77","2,143,035,333,258.24","2,476,652,189,879.72","2,252,664,120,777.39"
Barbados,"93,216,432.3803695","96,949,756.330522","109,083,059.168518","108,383,060.927864","114,683,045.097089","123,608,022.665682","137,103,729.870016",137300000,154400000,181500000,"204,010,328.888222","233,383,639.978896","284,759,098.097978","340,492,903.658634","402,158,285.756234","435,871,861.918538","495,116,619.265309","552,876,225.283913","670,312,672.251523","860,438,453.32038","946,949,724.873939","989,409,791.650169","1,050,464,828.03944","1,144,931,025.91334","1,198,180,245.50696","1,315,567,052.9401","1,448,665,027.59519","1,540,893,882.55387","1,703,922,714.56329","2,023,318,164.38209","2,007,109,742.66963",1950900000,"2,046,188,943.48556","2,151,295,089.19152","2,261,969,772.41831","2,411,872,813.71606","2,549,296,364.67692","2,874,459,180.62627","3,012,031,888.84215",3119500000,3112350000,3168600000,3271200000,3509700000,3891500000,4314050000,4513250000,4541550000,4592650000,4433700000,4368900000,4224850000
Brunei Darussalam,,,,,"114,040,245.655299","132,758,395.400497","139,030,445.576898","160,819,286.554292","161,211,289.690318","179,080,099.307461","197,523,179.241883","270,818,555.823521","433,092,003.579273","1,073,577,085.64159","1,168,304,305.65513","1,423,061,356.64562","1,732,721,160.94122","1,941,600,703.60598","2,803,780,005.51826","4,928,824,957.9675","4,366,213,849.57637","4,264,252,336.4486","3,844,723,142.45149","3,782,523,088.4628","3,523,612,563.06532","2,358,592,817.12134","2,754,463,437.79677","2,690,717,551.18267","2,985,467,989.54007","3,520,551,724.13793","3,701,667,052.55846","4,183,548,189.07305","4,105,706,151.75145","4,087,337,959.93191","4,734,020,036.68689","5,115,602,836.87943","5,197,332,974.13793","4,051,147,227.53346",4600000000,"6,001,153,317.86543","5,601,090,584.36122","5,843,329,101.97699","6,557,333,067.38606","7,872,333,197.25476","9,531,402,829.84859","11,470,703,002.0769","12,247,627,894.6321","14,393,099,068.5859","10,732,435,033.6862","12,369,708,858.9029","16,359,795,685.7116","16,953,952,625.403"
